id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
64250289-edcd-4550-9128-b9452b05160a,142236dedaa1b553cb2946229148589a63357eadb7fa95d2735c5b089c7dc502,2024-02-12 13:31:06.096 -0800,20210608191508_,,,2024-02-12 13:31:06.083 -0800,1
7764fdd4-1400-495a-8919-1c3b68ba583c,d6ad11e2dfef5a81815276bf97d5ab371258ddcb8c278a03aff4733fae007079,2024-02-12 13:31:05.886 -0800,20210403074747_initial,,,2024-02-12 13:31:05.700 -0800,1
04120cbb-c35d-4149-810f-202f428eda58,9a7cfc10e3c8b9ceabfc67705f46e8d082a571228a7c7efcbefc1430e51f7205,2024-02-12 13:31:05.919 -0800,20210413185802_new_comment_likes,,,2024-02-12 13:31:05.888 -0800,1
ad1c4184-ff54-4f12-af13-5b53e1df783e,578d0934bfdff6d039b1d1f2528075d6de6c381a22740669b8f048e216f3f60a,2024-02-12 13:31:06.221 -0800,20210719225708_idea_usertype,,,2024-02-12 13:31:06.214 -0800,1
c317b026-fa6d-47ff-a64b-bf2c2a20f1c7,dca0f3f3fe9720ee9dffdc8b3949627e3284c8fc7d2309ac3c10eb0bb4da5b25,2024-02-12 13:31:05.928 -0800,20210429174346_champion_relationship,,,2024-02-12 13:31:05.920 -0800,1
ca74ee0b-7e93-4a6f-a9ee-e7f926709420,c3b628df9f37f867c985f6ad7c3d743ff521c1dbd033d7eb2295976e285377e0,2024-02-12 13:31:06.114 -0800,20210611180517_,,,2024-02-12 13:31:06.098 -0800,1
cbc4c28f-1a86-4f13-8740-8d7eb240e5f5,74d4ae164cf0d78c57ccd063038233482578458e08a48b3fe2c5fe805ad52408,2024-02-12 13:31:05.945 -0800,20210510224507_advertisement_model_added,,,2024-02-12 13:31:05.930 -0800,1
aedde4f6-006f-4b01-85e2-e6fed1517bb0,d97d1ca5c218cf54a6b7b92a12c63ea4f5e16581ea8e5dc1f502741de21f2051,2024-02-12 13:31:05.954 -0800,20210510225812_added_business_user_type,,,2024-02-12 13:31:05.947 -0800,1
340a171e-a41b-440b-ad51-ccb1bd590141,1329ccc67fb5ee191cf84319cdaf6a227a1643592ad623e0a4806763b4242f7d,2024-02-12 13:31:05.961 -0800,20210511001338_advertisement_refinement,,,2024-02-12 13:31:05.955 -0800,1
01d9f4d5-fb86-4e68-8a65-26d7a3aa6455,cca505effbd845265d9aeedb16b196c79fb9cbe69a30d6fb0dd28f47f08b6421,2024-02-12 13:31:06.131 -0800,20210619004444_super_segment_implementation,,,2024-02-12 13:31:06.115 -0800,1
a05c33a9-e3be-42a8-b51a-b92a40ae6841,c76ed26e99b0716cc7e7f5a2bcfa3816194a6172f4255660f96569c046637892,2024-02-12 13:31:05.969 -0800,20210512160453_updated_geo,,,2024-02-12 13:31:05.963 -0800,1
2f67f108-1ed6-4819-a019-4c655a03d97e,295bc99ac6d8782319b85b5b82dce1bb0e216ac5acce4c75d26c0875aab4c324,2024-02-12 13:31:05.976 -0800,20210512204510_default_to_admin_account_type,,,2024-02-12 13:31:05.971 -0800,1
4d33b6d3-b23a-41a9-8990-b7f5cf57afff,3c12978fd968f124ea83180823a7f5a33d4d8c3d54a7e58178a99272b240bb83,2024-02-12 13:31:06.268 -0800,20210727202035_super_segment_relationship_added_to_idea,,,2024-02-12 13:31:06.261 -0800,1
3072125e-964b-4c08-adab-945609fed36b,88f2c8ed527a462881b68e129a37e834d74df399f499a995d59b6a4ef35e034a,2024-02-12 13:31:05.985 -0800,20210518045019_,,,2024-02-12 13:31:05.978 -0800,1
7000e871-ff1f-498b-bb7f-1fe2c512a7a2,e9acdb7a8fb19573b751ce89ba528d8cd511708de34914973195c9979d184428,2024-02-12 13:31:06.142 -0800,20210619055211_,,,2024-02-12 13:31:06.133 -0800,1
4946e54e-5ac9-4201-8761-c349cefefc7f,ad131543544f80c01e7420c658f2a80e33901ede5fee1ce01224d266f7c4e661,2024-02-12 13:31:05.993 -0800,20210519183412_,,,2024-02-12 13:31:05.987 -0800,1
3069b1a7-bddc-4add-9051-60049c0e3dd7,10748d19b1617cb70a516c64f34c7c0a4eaa45cfd9418af0e78be7c936f92de9,2024-02-12 13:31:06.002 -0800,20210521180618_image_path_avatar,,,2024-02-12 13:31:05.995 -0800,1
d4aa051a-2cbe-4550-86d1-3bb619ac57d7,1ebb9ac613cd875131c1cc4cb41f59f5db1e89f90ba5d84e32e6641587029389,2024-02-12 13:31:06.231 -0800,20210720211937_idea_comment_update,,,2024-02-12 13:31:06.223 -0800,1
dc360016-d7d0-4d4b-b48f-5538f47cd3f4,309614c4849d128bb15a55b1e074341308c5059c7e7889acef6bc77c9051cfe9,2024-02-12 13:31:06.053 -0800,20210526052334_,,,2024-02-12 13:31:06.004 -0800,1
b038a648-c571-42ca-a1d7-d66bacf5a9a4,f583b0debf9cf1b5c59fcbf2fdf00ef257f59bb899e0ce1268c4019ffc3173bc,2024-02-12 13:31:06.150 -0800,20210624214938_,,,2024-02-12 13:31:06.144 -0800,1
da19f538-891e-423b-8777-63f8076cc07d,d2bf850d7aa02a5684b00b3068567af363a42f1c7958263fc224e401c7a64277,2024-02-12 13:31:06.081 -0800,20210608175017_user_segements,,,2024-02-12 13:31:06.054 -0800,1
5512bc24-b4de-40d4-918d-83ff9ca9a5d5,28376dff621b3b193b87ac588052c7a366c9e2b0622f387e101d663d4298d21d,2024-02-12 13:31:06.162 -0800,20210626000438_idea_table_update,,,2024-02-12 13:31:06.152 -0800,1
d93398ef-493b-4749-829e-d20fd4ec3cd9,142236dedaa1b553cb2946229148589a63357eadb7fa95d2735c5b089c7dc502,2024-02-12 13:31:06.244 -0800,20210720213329_one_to_one_relationship_between_user_and_user_segment_table,,,2024-02-12 13:31:06.233 -0800,1
40d9a011-324f-4e9f-a06d-66b70fc346bc,aa74a8bb78825b45e806d551a8983c4ce95cf9cebde54fa53565a0fb05f80c82,2024-02-12 13:31:06.171 -0800,20210629185218_user_model_updagte,,,2024-02-12 13:31:06.164 -0800,1
5b33bbff-bba6-4bd0-ba2b-2ecde473277e,a50a5a8bb2efe856b8f87e54fd1b9a220d445c386771b86f1498a248465886df,2024-02-12 13:31:06.203 -0800,20210707203655_user_types,,,2024-02-12 13:31:06.173 -0800,1
060d55a6-de1a-4302-99e1-93f1abefd15e,ef158080ac09c277eca2570aed040c7d8f8a8b3b8d94d1b98eb4e55851be8ca6,2024-02-12 13:31:06.375 -0800,20220130012243_prismav123,,,2024-02-12 13:31:06.351 -0800,1
84367b64-9dd5-437e-a82e-ef069956ca34,c59323ef82a077dafc4e10e8a7c3f3f9fbe39118f370c71b12e36c8a8dfd4813,2024-02-12 13:31:06.212 -0800,20210713061300_sub_segment_optional,,,2024-02-12 13:31:06.205 -0800,1
e22556af-ae31-4e68-9534-1ac568e5fbe8,880bf342b0b84e9f621e89c29fe8da554025dd4d57e5a1506dc480b7c76dfa12,2024-02-12 13:31:06.277 -0800,20210729200323_super_segment_fields_added_to_user_segment,,,2024-02-12 13:31:06.269 -0800,1
8efff5df-16dd-4b00-a09d-c5d00ee503e8,5bc38b709128f5e84bee53b1f6c8799ef1ab18f3ef2d38d936b8fbe91cc35496,2024-02-12 13:31:06.252 -0800,20210726182749_basic_advertisement_update,,,2024-02-12 13:31:06.246 -0800,1
6e9d7acf-242b-4b9f-8d3f-599af45570f3,e7d5b5266375b9a4f416ce3e5ccada0e87593b4c7b50abae61eace6d6c8f5ecf,2024-02-12 13:31:06.260 -0800,20210727060640_idea_image_path,,,2024-02-12 13:31:06.254 -0800,1
e4498376-fdd4-438e-a2c2-71b97842f7f6,f232b659947830716a409d9a32da0cfea5ca7ececc97866c2f50f8dc162e576d,2024-02-12 13:31:06.327 -0800,20220128234313_jan28v2,,,2024-02-12 13:31:06.318 -0800,1
f99b91ee-1d5c-4f20-ad00-a51a625ff128,8096614a100d0a3a6ea5c2c2814c8bce50b7cb3c822414f4443605688bf8a22c,2024-02-12 13:31:06.288 -0800,20210730033718_subsegment_and_supersegment_id_in_idea_comment,,,2024-02-12 13:31:06.279 -0800,1
0ed80e56-62a6-4cd2-947f-d15cda320c0a,2916c27bfee5159f44c633c2f825c25b4fed82a6965ae8a617c4e8409976c6be,2024-02-12 13:31:06.316 -0800,20220128233308_jan28v1,,,2024-02-12 13:31:06.290 -0800,1
3e841fdf-a52b-4add-a187-449b8460298d,2ce647fe133282242ce254fd0363f19f4b4646d47689feec00a432cc435f5f10,2024-02-12 13:31:06.349 -0800,20220130003315_fixv3,,,2024-02-12 13:31:06.329 -0800,1
c6ff4d7a-5130-4499-a0e4-e003157367b0,f18f3a43be166084b0f170ead64e70d67e06de29daa5e583eb2e6bf50530d10c,2024-02-12 13:31:06.401 -0800,20220228023948_dec_radius,,,2024-02-12 13:31:06.386 -0800,1
