id,idea_id,author_id,rating,rating_explanation,created_at,updated_at
96,89,cll12pyle001klg06em4rz6x3,2,,2023-08-07 16:26:18.720,2023-08-07 16:26:18.720
97,90,cll12i0mm0014lg06nd1pxls6,2,,2023-08-07 16:42:17.052,2023-08-07 16:42:17.052
98,91,cll12i0mm0014lg06nd1pxls6,2,,2023-08-07 16:45:03.144,2023-08-07 16:45:03.144
99,92,cll13zcwk0020lg06c4p76dni,2,,2023-08-07 16:52:36.237,2023-08-07 16:52:36.237
100,89,clkzvrj2s000olg06ehcaf0b0,2,,2023-08-07 17:51:30.740,2023-08-07 17:51:30.740
101,93,clkzvrj2s000olg06ehcaf0b0,2,,2023-08-07 17:53:59.493,2023-08-07 17:53:59.493
102,94,cll12cnah000wlg06qcz64hu1,2,,2023-08-07 17:56:49.412,2023-08-07 17:56:49.412
103,119,cll12cnah000wlg06qcz64hu1,-2,,2023-08-09 22:49:37.964,2023-08-09 22:49:37.964
104,120,cll12cnah000wlg06qcz64hu1,-2,,2023-08-09 22:50:47.190,2023-08-09 22:50:47.190
105,121,cll12cnah000wlg06qcz64hu1,2,,2023-08-14 03:24:33.844,2023-08-14 03:24:33.844
106,123,clkzvrj2s000olg06ehcaf0b0,-2,,2023-08-27 02:01:54.997,2023-08-27 02:01:54.997
107,94,cll12i0mm0014lg06nd1pxls6,0,,2023-11-27 05:25:31.908,2023-11-27 05:25:31.908
108,93,cll12i0mm0014lg06nd1pxls6,1,,2023-11-30 16:42:27.421,2023-11-30 16:42:27.421
109,121,clkzviwgv000glg062rwslf8w,1,,2024-02-09 20:31:01.513,2024-02-09 20:31:01.513
110,129,clu0lg3qd0000qs06ide6d3ze,2,,2024-03-21 02:22:55.963,2024-03-21 02:22:55.963
111,130,clu0lg3qd0000qs06ide6d3ze,1,,2024-03-21 02:51:44.304,2024-03-21 02:51:44.304
112,131,clu0t10cz000uqs06a52rwzny,2,,2024-03-22 04:38:56.056,2024-03-22 04:38:56.056
113,91,clu0n6ka2000kqs06tdyeqtmb,2,,2024-03-22 05:05:13.564,2024-03-22 05:05:13.564
114,89,clu4letg9002eqs061d1pfoz1,2,,2024-03-23 21:21:48.112,2024-03-23 21:21:48.112
115,132,cluinp0vf0038qs06nczvky4t,2,,2024-04-07 18:48:24.983,2024-04-07 18:48:24.983
116,133,cluipi0sr0042qs062i72ur79,2,,2024-04-07 21:35:14.820,2024-04-07 21:35:14.820
117,132,cluipi0sr0042qs062i72ur79,1,,2024-04-07 21:36:35.195,2024-04-07 21:36:35.195
118,134,cluiowe6g003iqs06wobphzpx,2,,2024-04-07 21:39:26.419,2024-04-07 21:39:26.419
119,135,cluip32e1003sqs06f31pj113,2,,2024-04-07 21:42:42.654,2024-04-07 21:42:42.654
120,136,cluyxuu89002apb06xnbi8e5e,2,,2024-04-14 03:10:11.971,2024-04-14 03:10:11.971
