id,user_id,segId
cll12i223001dlg060mnc8s84,cll12i0mm0014lg06nd1pxls6,4
cll12i22i001flg06aihsct9p,cll12i0mm0014lg06nd1pxls6,3
cll12i24q001hlg06o2g2jebe,cll12i0mm0014lg06nd1pxls6,1
cll12i27f001jlg0654301i4q,cll12i0mm0014lg06nd1pxls6,2
cll12pzzy001tlg062hmiwrbk,cll12pyle001klg06em4rz6x3,4
cll12q009001vlg06einl3zyw,cll12pyle001klg06em4rz6x3,3
cll12q02y001xlg06vzvl9xnj,cll12pyle001klg06em4rz6x3,1
cll12q05p001zlg06eqge6sjn,cll12pyle001klg06em4rz6x3,2
clu0tklok001aqs06moc7teaa,clu0tklok0014qs0698vsgdry,3
clu0tklok001bqs068plk0pmh,clu0tklok0014qs0698vsgdry,1
cluqyh1ns0000pb061tylsdqr,cll13zcwk0020lg06c4p76dni,2
cluqyn3up0001pb061lsfaqsu,cluqfd206002ilb06hayycf53,1
